Package Identifier,ULD Identifier,x1,y1,z1,x2,y2,z2
P-1,U5,187,143,6,242,196,105
P-2,U5,187,0,203,243,99,284
P-3,U3,140,0,0,241,42,51
P-4,U2,109,248,87,217,304,162
P-5,U5,69,73,110,133,131,198
P-6,U5,187,114,105,243,198,196
P-7,NONE,-1,-1,-1,-1,-1,-1
P-8,NONE,-1,-1,-1,-1,-1,-1
P-9,U6,168,142,173,241,230,244
P-10,U6,98,110,0,168,198,85
P-11,U1,102,261,67,183,316,147
P-12,U1,21,213,71,109,261,151
P-13,NONE,-1,-1,-1,-1,-1,-1
P-14,U4,79,99,194,125,180,239
P-15,U3,0,254,5,84,303,65
P-16,U5,69,211,110,132,304,158
P-17,U5,69,206,53,132,289,110
P-18,NONE,-1,-1,-1,-1,-1,-1
P-19,U4,129,183,107,180,252,194
P-20,U5,187,99,196,243,205,284
P-21,NONE,-1,-1,-1,-1,-1,-1
P-22,NONE,-1,-1,-1,-1,-1,-1
P-23,U3,140,208,190,191,318,240
P-24,NONE,-1,-1,-1,-1,-1,-1
P-25,U5,133,263,108,186,307,185
P-26,U5,0,0,211,69,56,284
P-27,U3,91,0,0,140,62,93
P-28,U1,92,0,43,173,95,107
P-29,U3,0,109,189,86,171,242
P-30,NONE,-1,-1,-1,-1,-1,-1
P-31,U4,0,202,51,76,273,100
P-32,U1,106,143,0,204,213,44
P-33,NONE,-1,-1,-1,-1,-1,-1
P-34,U2,0,0,72,45,81,159
P-35,U2,0,0,0,63,83,72
P-36,U3,140,175,51,226,253,131
P-37,U6,168,174,0,244,233,51
P-38,NONE,-1,-1,-1,-1,-1,-1
P-39,U4,182,149,176,243,245,240
P-40,U1,106,143,44,196,213,89
P-41,U5,0,206,100,68,296,204
P-42,U3,140,146,10,202,255,51
P-43,NONE,-1,-1,-1,-1,-1,-1
P-44,U3,91,0,93,140,40,177
P-45,U3,0,0,109,91,72,190
P-46,U6,168,0,211,239,94,273
P-47,NONE,-1,-1,-1,-1,-1,-1
P-48,U4,129,44,196,182,109,244
